job_id,priority,execution_time,resource_usage
1206,3,2.94,0.87
1207,5,4.43,1.86
1208,3,3.8,0.87
1209,4,4.13,0.91
1210,4,3.46,1.64
1211,3,3.62,1.17
1212,4,4.32,1.67
1213,3,1.62,0.6
1214,2,2.7,1.23
1215,3,1.5,0.55
1216,3,4.94,0.59
1217,4,4.75,1.86
1218,4,0.68,0.71
1219,1,3.68,1.3
1220,1,4.66,1.12
1221,2,1.31,1.02
1222,1,3.06,1.85
1223,3,4.62,0.53
1224,4,0.65,1.5
1225,1,3.64,1.95
1226,1,1.84,1.34
1227,2,4.66,1.91
1228,2,4.87,0.58
1229,3,4.75,1.13
1230,4,2.63,0.89
1231,2,4.38,1.6
1232,1,4.3,1.97
1233,4,1.94,0.88
1234,4,4.23,1.48
1235,1,0.67,0.8
1236,2,3.18,1.35
1237,1,1.54,1.2
1238,4,1.04,1.96
1239,5,0.85,1.41
1240,5,3.63,1.02
1241,3,2.03,0.67
1242,1,3.76,0.73
1243,1,0.79,0.84
1244,3,1.92,0.88
1245,3,2.93,1.78
1246,3,4.06,1.34
1247,4,1.93,1.29
1248,1,3.32,0.67
1249,4,4.49,1.79
1250,3,3.27,1.58
1251,1,1.55,0.6
1252,4,0.61,1.56
1253,4,4.42,1.32
1254,3,0.6,0.62
1255,1,4.44,1.19
1256,3,2.88,1.23
1257,1,4.73,0.75
1258,5,4.09,1.92
1259,2,4.99,1.77
1260,2,2.08,1.5
1261,2,3.95,1.19
1262,3,2.31,1.12
1263,5,2.66,1.48
1264,1,3.32,1.32
1265,4,4.43,0.59
1266,1,4.93,1.27
1267,4,3.96,1.71
1268,1,2.38,1.19
1269,5,2.4,0.58
1270,4,3.82,1.68
1271,3,1.57,0.8
1272,1,1.0,0.89
1273,1,2.1,0.75
1274,4,1.79,1.0
1275,3,1.83,1.64
1276,3,1.55,1.28
1277,5,0.69,0.81
1278,3,0.58,1.82
1279,3,4.94,1.82
1280,3,2.42,1.81
1281,2,2.23,0.86
1282,5,3.56,1.18
1283,1,1.48,1.98
1284,4,4.77,1.66
1285,1,4.04,0.54
1286,5,0.9,0.6
1287,4,2.38,1.2
1288,5,4.46,1.86
1289,3,4.75,1.31
1290,4,2.6,1.25
1291,3,3.26,0.66
1292,1,1.25,1.49
1293,1,4.96,1.73
1294,4,1.54,1.07
1295,4,4.74,1.66
1296,5,3.42,1.95
1297,5,3.23,0.81
1298,3,2.81,1.28
1299,4,1.54,0.93
1300,1,1.29,1.69
1301,5,1.49,1.37
1302,5,1.34,1.45
1303,1,4.01,1.7
1304,5,2.08,1.09
1305,3,0.76,1.87
1306,4,4.86,1.3
1307,1,4.48,0.74
1308,4,4.67,1.54
1309,5,4.98,1.69
1310,5,1.28,0.98
1311,1,2.28,1.79
1312,3,3.91,1.86
1313,2,3.63,0.92
1314,1,1.19,1.98
1315,2,4.17,0.71
1316,2,1.51,0.8
1317,3,1.51,0.78
1318,2,2.92,1.84
1319,2,3.17,1.48
1320,3,3.11,0.73
1321,2,0.91,1.16
1322,2,4.45,1.42
1323,2,1.7,0.63
1324,1,1.08,1.82
1325,1,4.5,1.71
1326,1,4.8,1.26
1327,3,4.38,1.95
1328,5,4.14,1.13
1329,2,3.45,1.98
1330,2,2.98,1.5
1331,3,0.89,1.45
1332,2,2.34,0.75
1333,1,2.18,1.82
1334,5,1.67,1.14
1335,4,3.76,0.74
1336,2,2.73,0.52
1337,1,0.86,1.34
1338,4,1.49,1.29
1339,5,3.57,1.58
1340,4,0.84,1.84
1341,1,4.33,0.62
1342,4,2.73,1.6
1343,3,2.66,0.78
1344,4,3.17,1.79
1345,2,4.21,1.73
1346,2,2.07,1.31
1347,3,3.55,1.57
1348,1,3.05,0.97
1349,2,1.7,1.21
1350,5,4.45,1.73
1351,2,4.09,1.19
1352,2,3.46,1.04
1353,1,4.33,1.24
1354,4,4.4,1.74
1355,2,3.69,1.0
1356,3,4.27,0.76
1357,4,3.64,1.57
1358,5,3.56,1.74
1359,1,3.28,0.65
1360,5,3.89,0.86
1361,4,1.21,0.71
1362,4,4.46,1.02
1363,4,4.42,1.18
1364,5,0.63,1.62
1365,4,4.22,1.48
1366,5,1.08,1.43
1367,4,2.01,1.03
1368,3,3.85,1.76
1369,4,1.22,1.21
1370,5,4.18,1.97
1371,2,4.24,1.45
1372,4,2.78,0.69
1373,2,0.53,1.51
1374,3,1.79,0.99
1375,1,3.28,1.53
1376,3,4.92,0.6
1377,4,3.34,0.76
1378,2,1.67,1.78
1379,2,3.35,0.84
1380,5,2.93,1.76
1381,2,4.01,0.92
1382,5,0.98,1.46
1383,1,3.92,1.54
1384,4,2.94,1.27
1385,5,4.83,0.96
1386,1,2.04,0.82
1387,2,3.35,0.55
1388,2,4.69,0.96
1389,1,0.96,1.48
1390,2,4.72,1.91
1391,1,3.6,1.81
1392,5,0.81,1.65
1393,5,1.85,1.68
1394,1,3.69,1.5
1395,5,0.8,0.89
1396,5,3.12,1.86
1397,5,2.06,1.51
1398,3,3.29,1.34
1399,4,0.71,0.67
1400,2,4.42,1.17
1401,3,4.88,1.19
1402,5,4.86,1.8
1403,1,3.87,1.32
1404,5,1.09,1.07
1405,4,3.91,1.97
1406,5,0.61,0.67
1407,1,0.6,1.13
1408,4,1.96,0.56
1409,5,2.7,1.61
1410,4,3.97,1.88
1411,2,3.57,0.92
1412,2,2.51,1.79
1413,5,1.73,0.94
1414,4,4.99,1.87
1415,1,2.42,1.63
1416,5,2.53,1.71
1417,2,1.24,0.53
1418,2,4.08,1.94
1419,5,3.62,1.59
1420,4,1.49,0.96
1421,2,0.87,1.74
1422,4,3.56,0.92
1423,2,3.45,1.81
1424,2,1.73,0.67
1425,3,4.78,1.56
1426,2,1.18,1.31
1427,1,2.45,0.64
1428,5,4.75,0.86
1429,5,2.39,0.52
1430,4,3.37,1.2
1431,2,2.29,0.95
1432,1,1.73,1.4
1433,4,4.93,0.95
1434,3,2.34,0.95
1435,4,4.52,1.61
1436,4,1.53,0.57
1437,2,1.46,1.85
1438,3,0.64,1.78
1439,4,3.43,1.5
1440,1,2.16,1.39
1441,1,4.39,1.84
1442,5,2.63,0.78
1443,3,4.86,0.62
1444,3,1.33,0.86
1445,5,4.41,1.69
1446,4,3.99,0.55
1447,3,3.97,1.37
1448,1,4.3,1.99
1449,1,3.92,1.78
1450,2,3.32,1.28
1451,3,1.09,0.6
1452,4,0.65,1.75
1453,5,4.64,1.4
1454,5,3.27,0.67
1455,4,4.08,0.64
1456,2,2.67,1.86
1457,5,1.03,1.5
1458,3,1.06,1.74
1459,2,3.59,1.82
1460,3,2.44,1.36
1461,1,1.4,1.28
1462,2,2.71,1.15
1463,5,0.79,0.98
1464,2,3.12,1.15
1465,2,1.71,1.66
1466,2,4.09,1.4
1467,2,1.9,1.84
1468,3,2.55,1.17
1469,1,0.55,1.41
1470,4,0.83,1.45
1471,2,2.27,1.39
1472,5,2.66,1.55
1473,2,3.2,0.86
1474,5,1.81,1.27
1475,3,3.63,0.66
1476,5,4.37,1.08
1477,4,4.01,1.23
1478,1,0.68,1.48
1479,5,2.66,1.93
1480,5,0.97,1.4
1481,1,1.59,1.62
1482,4,4.94,1.26
1483,2,1.14,1.45
1484,5,2.74,0.61
1485,1,3.28,0.88
1486,3,3.66,1.04
1487,1,3.02,1.21
1488,3,0.54,0.57
1489,4,1.97,0.71
1490,2,2.83,0.92
1491,1,0.9,1.96
1492,5,2.08,1.0
1493,4,0.65,1.22
1494,1,0.85,0.79
1495,5,2.29,1.42
1496,1,1.1,0.92
1497,3,3.05,0.81
1498,1,3.6,1.27
1499,1,4.1,0.51
1500,1,1.4,0.51
1501,4,1.25,0.83
1502,1,0.97,0.56
1503,5,3.36,0.66
1504,3,3.68,1.01
1505,3,0.64,1.7
1506,1,4.71,1.36
1507,4,0.73,1.27
1508,4,2.94,0.94
1509,5,3.69,1.9
1510,1,4.42,1.1
1511,3,3.71,0.63
1512,4,4.11,1.43
1513,1,2.03,0.67
1514,4,4.17,1.02
1515,4,0.86,1.26
1516,3,4.53,1.81
1517,2,2.96,1.24
1518,5,4.18,1.55
1519,5,2.54,1.99
1520,3,3.4,0.7
1521,4,2.87,0.91
1522,1,3.79,1.09
1523,4,0.87,1.13
1524,3,0.77,1.12
1525,5,1.61,1.86
1526,4,1.22,1.57
1527,5,4.42,1.41
1528,1,1.49,0.96
1529,5,4.89,1.74
1530,5,2.02,1.93
1531,2,1.32,1.73
1532,2,4.05,0.5
1533,2,3.46,1.45
1534,5,2.74,0.58
1535,3,3.0,0.89
1536,5,3.74,0.59
1537,3,1.53,1.41
1538,3,4.98,1.53
1539,2,4.89,0.67
1540,4,3.43,1.08
1541,1,1.4,1.18
1542,2,3.56,1.05
1543,2,0.82,0.68
1544,4,0.64,1.13
1545,1,1.66,1.63
1546,5,2.58,0.61
1547,5,4.41,0.62
1548,2,3.77,1.03
1549,1,3.84,1.91
1550,2,2.41,1.5
1551,3,2.06,1.52
1552,2,2.17,1.04
1553,2,4.94,1.39
1554,5,0.68,0.52
1555,5,4.4,1.45
1556,5,3.1,1.87
1557,3,2.47,1.42
1558,5,3.76,1.81
1559,1,2.69,1.59
1560,4,4.43,0.68
1561,1,4.55,1.85
1562,1,2.4,0.6
1563,5,1.75,1.3
1564,4,3.17,0.71
1565,4,4.61,0.52
1566,4,1.45,1.13
1567,3,3.3,0.94
1568,5,3.34,1.23
1569,4,3.8,1.37
1570,3,1.09,0.57
1571,2,3.72,0.68
1572,2,4.59,1.34
1573,3,1.31,1.01
1574,3,1.57,1.59
1575,5,4.87,1.48
1576,5,1.31,1.77
1577,2,4.34,1.54
1578,4,2.72,1.14
1579,2,1.61,1.51
1580,4,4.42,0.91
1581,4,2.5,0.96
1582,5,2.82,1.68
1583,1,2.12,1.17
1584,1,3.17,1.7
1585,3,1.24,1.73
1586,5,2.26,1.79
1587,4,4.86,1.87
1588,1,1.66,1.15
1589,4,3.46,0.98
1590,1,1.96,1.37
1591,1,3.98,1.06
1592,1,1.09,1.4
1593,5,4.86,1.56
1594,2,2.54,1.53
1595,4,1.56,1.06
1596,5,0.83,0.75
1597,5,1.26,1.15
1598,5,2.84,0.71
1599,5,2.02,1.84
1600,5,4.23,1.02
1601,3,2.44,0.73
1602,4,1.62,0.54
1603,5,3.28,1.47
1604,4,3.68,1.46
1605,3,1.25,1.01
1606,3,1.25,0.61
1607,4,0.67,1.11
1608,1,3.81,0.97
1609,2,3.49,1.52
1610,1,2.64,1.41
1611,1,4.3,1.05
1612,1,4.13,0.83
1613,5,3.13,1.98
1614,3,4.41,1.18
1615,1,1.43,1.53
1616,3,1.0,0.71
1617,4,1.71,1.23
1618,2,0.76,0.54
1619,4,2.89,1.26
1620,4,4.71,1.95
1621,5,0.68,1.08
1622,2,1.05,0.56
1623,4,2.53,0.55
1624,4,4.7,1.08
1625,2,1.92,0.74
1626,2,2.78,0.54
1627,4,0.69,1.63
1628,2,1.17,1.19
1629,4,4.94,0.93
1630,4,4.84,1.85
1631,5,0.52,0.67
1632,1,4.78,1.93
1633,4,3.38,0.97
1634,3,4.41,1.83
1635,1,2.55,1.4
1636,1,2.82,1.74
1637,1,2.7,1.98
1638,5,3.5,0.93
1639,4,1.13,1.94
1640,5,0.63,1.08
1641,4,1.89,1.08
1642,5,3.67,1.01
1643,5,1.41,1.31
1644,3,3.53,0.73
1645,5,4.86,1.33
1646,2,0.92,1.31
1647,3,3.53,1.64
1648,5,2.5,1.75
1649,1,4.41,1.16
1650,2,1.3,0.95
1651,2,3.62,0.89
1652,2,4.27,0.79
1653,3,4.75,0.59
1654,5,3.57,1.01
1655,5,2.74,0.91
1656,1,3.28,1.95
1657,1,4.41,1.34
1658,2,3.07,1.02
1659,1,0.64,1.37
1660,3,4.69,0.71
1661,5,3.6,1.17
1662,2,3.54,1.44
1663,1,1.47,1.23
1664,3,3.46,1.1
1665,3,2.27,1.99
1666,1,3.43,1.82
1667,5,0.98,1.44
1668,1,3.46,1.35
1669,2,5.0,1.43
1670,1,0.72,0.8
1671,3,4.9,1.09
1672,1,2.33,0.56
1673,5,4.42,1.21
1674,4,4.02,1.31
1675,1,3.05,0.84
1676,5,3.82,1.95
1677,5,4.45,1.86
1678,3,2.32,1.58
1679,5,1.97,1.3
1680,5,3.5,1.8
1681,5,4.14,0.7
1682,5,3.93,1.69
1683,2,4.09,0.69
1684,2,2.46,1.69
1685,3,4.18,0.91
1686,1,1.04,1.82
1687,5,2.95,1.92
1688,1,0.53,0.72
1689,1,1.96,1.19
1690,3,2.15,1.97
1691,5,2.28,1.23
1692,5,3.63,1.8
1693,4,2.25,1.38
1694,1,2.52,1.06
1695,1,1.57,0.93
1696,2,2.18,0.8
1697,4,1.52,1.64
1698,2,0.83,1.08
1699,2,3.22,1.27
1700,2,3.51,1.24
1701,3,3.29,1.37
1702,3,2.59,1.8
1703,2,2.21,1.97
1704,4,4.39,1.11
1705,1,2.84,1.74
1706,4,2.66,1.65
1707,5,0.62,1.36
1708,3,2.04,1.93
1709,1,2.21,0.8
1710,1,2.29,0.66
1711,5,3.11,1.78
1712,5,2.9,1.16
1713,2,3.24,1.77
1714,3,3.94,1.84
1715,3,4.16,0.59
1716,4,3.73,1.83
1717,2,4.8,1.17
1718,2,0.58,1.27
1719,2,1.38,1.44
1720,2,0.53,1.89
1721,3,3.41,0.53
1722,3,4.54,1.22
1723,2,1.6,1.53
1724,4,4.67,1.58
1725,1,0.77,1.54
1726,1,4.7,0.7
1727,4,2.08,0.95
1728,2,0.96,1.04
1729,3,2.69,1.71
1730,1,1.66,0.92
1731,5,1.78,0.82
1732,5,1.88,1.94
1733,4,4.11,0.51
1734,2,2.93,2.0
1735,1,1.9,1.52
1736,2,3.25,1.74
1737,1,3.72,0.94
1738,4,1.73,0.52
1739,4,2.36,1.61
1740,5,1.05,1.75
1741,2,1.32,1.61
1742,5,3.57,0.71
1743,2,1.32,1.63
1744,5,2.86,1.65
1745,3,3.69,1.49
1746,3,0.98,1.65
1747,3,3.05,1.77
1748,3,1.65,1.42
1749,1,4.83,0.63
1750,3,2.68,1.23
1751,4,4.13,0.62
1752,4,2.98,1.11
1753,1,0.7,1.11
1754,3,3.35,0.6
1755,3,4.78,1.02
1756,3,3.21,0.67
1757,5,4.19,1.71
1758,2,4.48,1.92
1759,5,1.53,0.61
1760,2,1.45,1.93
1761,3,3.25,1.28
1762,3,2.35,0.95
1763,5,4.28,0.62
1764,5,4.55,1.25
1765,2,2.09,1.69
1766,4,1.57,1.56
1767,2,4.01,0.58
1768,5,1.74,0.61
1769,5,4.2,1.1
1770,1,2.41,0.94
1771,5,3.5,0.85
1772,1,0.93,0.92
1773,4,3.31,1.71
1774,2,2.53,1.89
1775,2,3.14,1.11
1776,1,1.26,1.86
1777,2,3.82,0.98
1778,5,4.38,1.21
1779,3,1.48,0.84
1780,1,0.93,1.46
1781,2,0.61,1.97
1782,1,3.39,1.41
1783,1,3.23,1.04
1784,3,2.96,1.47
1785,5,1.54,0.68
1786,1,2.26,1.83
1787,2,3.18,1.25
1788,4,2.74,1.17
1789,1,4.95,1.38
1790,1,1.11,1.44
1791,3,3.63,0.61
1792,5,2.32,1.52
1793,4,2.43,0.86
1794,2,3.73,1.57
1795,4,3.62,1.73
1796,2,4.96,1.71
1797,5,1.08,1.33
1798,2,0.97,1.28
1799,3,3.76,0.71
1800,3,3.1,1.66
1801,3,1.73,0.91
1802,3,0.86,1.25
1803,4,0.89,0.93
1804,5,4.52,0.7
1805,2,1.36,1.44
1806,2,1.96,0.58
1807,3,1.52,1.62
1808,3,2.1,0.98
1809,1,0.81,0.5
1810,5,2.84,1.27
1811,4,0.8,0.57
1812,2,4.1,0.91
1813,1,1.55,1.56
1814,1,2.93,0.59
1815,2,4.46,1.76
1816,4,3.43,0.51
1817,1,2.9,0.87
1818,1,1.96,1.61
1819,5,2.0,0.97
1820,4,3.51,0.65
1821,1,4.97,1.04
1822,4,3.48,0.91
1823,2,3.01,1.76
1824,3,3.79,0.97
1825,1,2.59,1.68
1826,5,0.77,1.84
1827,2,3.03,1.15
1828,4,4.81,1.86
1829,2,1.29,1.07
1830,1,3.61,1.95
1831,4,1.4,0.63
1832,3,2.91,1.53
1833,2,0.94,1.24
1834,1,2.53,1.08
1835,5,3.9,1.45
1836,4,2.06,1.56
1837,2,3.49,0.51
1838,2,4.08,0.75
1839,3,4.67,1.57
1840,3,1.56,1.5
1841,5,2.3,1.95
1842,5,1.19,1.64
1843,1,4.97,1.93
1844,1,4.67,1.55
1845,5,2.93,0.95
1846,5,4.29,0.66
1847,4,2.84,1.67
1848,3,3.31,1.47
1849,1,0.9,0.57
1850,3,3.9,1.04
1851,3,1.07,1.94
1852,5,4.22,1.25
1853,4,4.02,1.15
1854,2,3.69,1.19
1855,4,0.66,0.81
1856,4,1.86,1.05
1857,3,1.68,1.05
1858,4,2.12,0.58
1859,1,0.89,1.65
1860,3,4.72,1.12
1861,1,2.99,1.73
1862,2,1.87,1.78
1863,3,2.29,0.82
1864,2,2.51,1.49
1865,3,3.2,1.21
1866,5,2.82,1.82
1867,4,4.64,0.82
1868,5,2.74,1.52
1869,2,4.96,1.41
1870,4,4.33,0.94
1871,3,1.44,0.7
1872,4,4.69,1.48
1873,1,1.02,1.61
1874,4,4.18,0.97
1875,1,2.21,1.47
1876,4,4.45,1.09
1877,1,4.41,1.57
1878,2,4.13,0.8
1879,5,4.06,1.84
1880,3,1.87,0.93
1881,4,0.86,1.05
1882,5,2.31,0.59
1883,3,1.28,0.67
1884,3,3.63,1.27
1885,1,2.06,0.9
1886,2,4.89,1.75
1887,2,3.38,0.52
1888,5,4.2,1.07
1889,2,1.1,1.01
1890,4,4.38,0.53
1891,2,4.65,0.69
1892,5,2.69,1.12
1893,2,3.23,1.24
1894,4,3.94,1.11
1895,1,1.29,1.3
1896,5,2.76,1.39
1897,1,2.29,0.51
1898,1,1.16,1.2
1899,1,2.15,1.95
1900,3,0.81,1.28
1901,3,0.62,1.52
1902,1,1.11,0.97
1903,5,4.83,1.66
1904,4,2.97,1.66
1905,4,4.85,1.28
1906,2,2.45,1.96
1907,5,1.9,0.69
1908,3,2.78,0.53
1909,1,2.48,1.66
1910,2,0.98,1.71
1911,4,3.38,0.68
1912,3,1.47,0.9
1913,3,3.29,0.53
1914,1,3.43,0.94
1915,4,1.18,1.66
1916,5,0.78,1.28
1917,3,4.01,1.02
1918,1,2.57,1.06
1919,5,0.76,0.5
1920,4,4.98,0.95
1921,3,0.76,1.47
1922,5,3.63,1.96
1923,5,4.93,1.77
1924,5,1.58,0.54
1925,3,1.14,1.85
1926,3,1.05,1.67
1927,2,1.86,1.67
1928,4,0.95,1.19
1929,1,3.61,1.1
1930,5,0.78,0.95
1931,2,2.79,0.6
1932,1,4.99,0.84
1933,2,4.16,0.87
1934,3,3.27,1.23
1935,5,1.88,1.62
1936,1,3.31,1.21
1937,1,2.87,0.59
1938,1,2.42,1.94
1939,1,1.09,1.91
1940,1,4.49,1.68
1941,2,2.52,1.99
1942,5,1.38,1.32
1943,3,2.15,1.94
1944,3,2.36,0.61
1945,3,4.22,1.05
1946,3,3.8,0.84
1947,2,3.96,0.79
1948,4,0.55,0.71
1949,5,2.37,1.43
1950,1,2.67,1.67
1951,4,0.59,1.37
1952,3,1.67,0.72
1953,4,3.92,1.72
1954,5,1.12,1.45
1955,1,2.91,1.08
1956,1,1.47,1.51
1957,5,0.55,0.89
1958,5,1.59,1.02
1959,3,4.89,1.88
1960,1,4.11,0.94
1961,4,4.82,1.2
1962,2,2.7,1.84
1963,2,0.99,1.56
1964,5,2.97,0.59
1965,3,2.54,0.72
1966,2,4.3,0.51
1967,1,0.94,1.45
1968,5,2.7,1.17
1969,4,1.18,0.7
1970,5,1.96,1.94
1971,4,3.82,1.29
1972,5,2.64,0.86
1973,5,2.19,1.25
1974,5,2.28,1.52
1975,4,2.57,0.61
1976,4,4.03,0.91
1977,5,4.51,1.71
1978,2,4.8,1.19
1979,3,4.04,1.32
1980,3,1.92,1.15
1981,3,3.6,0.57
1982,4,2.47,0.75
1983,4,1.65,1.17
1984,2,4.28,0.81
1985,3,0.67,0.57
1986,3,4.56,1.77
1987,5,2.58,1.97
1988,4,3.37,1.69
1989,3,3.47,1.78
1990,2,4.53,0.86
1991,2,3.37,1.94
1992,3,3.26,0.8
1993,4,0.8,1.93
1994,2,2.83,1.99
1995,5,1.18,1.57
1996,2,3.82,1.97
1997,1,2.8,1.35
1998,1,3.56,0.89
1999,4,0.69,1.16
2000,3,0.88,1.39
